Date,BTCTrend
2017-10-23,21.14
2017-10-24,22.29
2017-10-25,23.43
2017-10-26,24.57
2017-10-27,25.71
2017-10-28,26.86
2017-10-29,28.00
2017-10-30,28.00
2017-10-31,28.00
2017-11-01,28.00
2017-11-02,28.00
2017-11-03,28.00
2017-11-04,28.00
2017-11-05,28.00
2017-11-06,28.43
2017-11-07,28.86
2017-11-08,29.29
2017-11-09,29.71
2017-11-10,30.14
2017-11-11,30.57
2017-11-12,31.00
2017-11-13,30.43
2017-11-14,29.86
2017-11-15,29.29
2017-11-16,28.71
2017-11-17,28.14
2017-11-18,27.57
2017-11-19,27.00
2017-11-20,32.29
2017-11-21,37.57
2017-11-22,42.86
2017-11-23,48.14
2017-11-24,53.43
2017-11-25,58.71
2017-11-26,64.00
2017-11-27,67.57
2017-11-28,71.14
2017-11-29,74.71
2017-11-30,78.29
2017-12-01,81.86
2017-12-02,85.43
2017-12-03,89.00
2017-12-04,88.43
2017-12-05,87.86
2017-12-06,87.29
2017-12-07,86.71
2017-12-08,86.14
2017-12-09,85.57
2017-12-10,85.00
2017-12-11,87.14
2017-12-12,89.29
2017-12-13,91.43
2017-12-14,93.57
2017-12-15,95.71
2017-12-16,97.86
2017-12-17,100.00
2017-12-18,94.43
2017-12-19,88.86
2017-12-20,83.29
2017-12-21,77.71
2017-12-22,72.14
2017-12-23,66.57
2017-12-24,61.00
2017-12-25,58.86
2017-12-26,56.71
2017-12-27,54.57
2017-12-28,52.43
2017-12-29,50.29
2017-12-30,48.14
2017-12-31,46.00
2018-01-01,45.86
2018-01-02,45.71
2018-01-03,45.57
2018-01-04,45.43
2018-01-05,45.29
2018-01-06,45.14
2018-01-07,45.00
2018-01-08,46.57
2018-01-09,48.14
2018-01-10,49.71
2018-01-11,51.29
2018-01-12,52.86
2018-01-13,54.43
2018-01-14,56.00
2018-01-15,53.29
2018-01-16,50.57
2018-01-17,47.86
2018-01-18,45.14
2018-01-19,42.43
2018-01-20,39.71
2018-01-21,37.00
2018-01-22,37.29
2018-01-23,37.57
2018-01-24,37.86
2018-01-25,38.14
2018-01-26,38.43
2018-01-27,38.71
2018-01-28,39.00
2018-01-29,40.00
2018-01-30,41.00
2018-01-31,42.00
2018-02-01,43.00
2018-02-02,44.00
2018-02-03,45.00
2018-02-04,46.00
2018-02-05,43.29
2018-02-06,40.57
2018-02-07,37.86
2018-02-08,35.14
2018-02-09,32.43
2018-02-10,29.71
2018-02-11,27.00
2018-02-12,26.71
2018-02-13,26.43
2018-02-14,26.14
2018-02-15,25.86
2018-02-16,25.57
2018-02-17,25.29
2018-02-18,25.00
2018-02-19,24.14
2018-02-20,23.29
2018-02-21,22.43
2018-02-22,21.57
2018-02-23,20.71
2018-02-24,19.86
2018-02-25,19.00
2018-02-26,19.14
2018-02-27,19.29
2018-02-28,19.43
2018-03-01,19.57
2018-03-02,19.71
2018-03-03,19.86
2018-03-04,20.00
2018-03-05,20.00
2018-03-06,20.00
2018-03-07,20.00
2018-03-08,20.00
2018-03-09,20.00
2018-03-10,20.00
2018-03-11,20.00
2018-03-12,19.71
2018-03-13,19.43
2018-03-14,19.14
2018-03-15,18.86
2018-03-16,18.57
2018-03-17,18.29
2018-03-18,18.00
2018-03-19,18.00
2018-03-20,18.00
2018-03-21,18.00
2018-03-22,18.00
2018-03-23,18.00
2018-03-24,18.00
2018-03-25,18.00
2018-03-26,18.00
2018-03-27,18.00
2018-03-28,18.00
2018-03-29,18.00
2018-03-30,18.00
2018-03-31,18.00
2018-04-01,18.00
